timestamp,generation,median,win_rate,max,min,bust_rate,mean,sd,seed,filename
20250813_015830,9,0.00,0.0540,0,0,0.7452,7.7120,5.7034,51,gen009_med0.00_win05_max0_min0_20250813_015830.json
20250813_015838,10,0.00,0.0540,0,0,0.7512,7.5060,5.8612,52,gen010_med0.00_win05_max0_min0_20250813_015838.json
20250813_015845,11,0.00,0.0520,0,0,0.6960,7.9920,5.6766,53,gen011_med0.00_win05_max0_min0_20250813_015845.json
20250813_015853,12,0.00,0.0560,0,0,0.7492,7.7580,5.8151,54,gen012_med0.00_win05_max0_min0_20250813_015853.json
20250813_015901,13,0.00,0.0700,0,0,0.7492,7.7760,6.1720,55,gen013_med0.00_win07_max0_min0_20250813_015901.json
20250813_015909,14,0.00,0.0580,0,0,0.6732,8.4080,5.5571,56,gen014_med0.00_win05_max0_min0_20250813_015909.json
20250813_015916,15,0.00,0.0620,0,0,0.6804,8.4120,5.9537,57,gen015_med0.00_win06_max0_min0_20250813_015916.json
20250813_015924,16,0.00,0.0540,0,0,0.6748,8.7580,5.5338,58,gen016_med0.00_win05_max0_min0_20250813_015924.json
20250813_015932,17,0.00,0.0520,0,0,0.6740,8.4980,5.7794,59,gen017_med0.00_win05_max0_min0_20250813_015932.json
20250813_015940,18,0.00,0.0660,0,0,0.6792,8.5800,5.8726,60,gen018_med0.00_win06_max0_min0_20250813_015940.json
20250813_015953,19,0.00,0.0500,0,0,0.6708,8.6120,5.6619,61,gen019_med0.00_win05_max0_min0_20250813_015953.json
20250813_020005,20,0.00,0.0620,0,0,0.7440,7.9360,6.0567,62,gen020_med0.00_win06_max0_min0_20250813_020005.json
20250813_020013,21,0.00,0.0500,0,0,0.6564,8.6840,5.2345,63,gen021_med0.00_win05_max0_min0_20250813_020013.json
20250813_020021,22,0.00,0.0440,0,0,0.6728,8.4880,5.3199,64,gen022_med0.00_win04_max0_min0_20250813_020021.json
20250813_020029,23,0.00,0.0740,0,0,0.7412,8.0240,6.0163,65,gen023_med0.00_win07_max0_min0_20250813_020029.json
20250813_020037,24,0.00,0.0540,0,0,0.6724,8.5260,5.3979,66,gen024_med0.00_win05_max0_min0_20250813_020037.json
20250813_020044,25,0.00,0.0460,0,0,0.6788,8.3900,5.6020,67,gen025_med0.00_win04_max0_min0_20250813_020044.json
20250813_020053,26,0.00,0.0560,0,0,0.7432,7.9800,6.2705,68,gen026_med0.00_win05_max0_min0_20250813_020053.json
20250813_020129,1,0.00,0.0540,0,0,0.5836,8.6800,4.6564,43,gen001_med0.00_win05_max0_min0_20250813_020129.json
20250813_020136,2,0.00,0.0520,0,0,0.5796,8.7680,4.8293,44,gen002_med0.00_win05_max0_min0_20250813_020136.json
20250813_020143,3,0.00,0.0620,0,0,0.5932,8.7540,4.8280,45,gen003_med0.00_win06_max0_min0_20250813_020143.json
20250813_020151,4,0.00,0.0560,0,0,0.6000,8.5600,4.8065,46,gen004_med0.00_win05_max0_min0_20250813_020151.json
20250813_020158,5,0.00,0.0480,0,0,0.6008,8.6380,5.0362,47,gen005_med0.00_win04_max0_min0_20250813_020158.json
20250813_020206,6,0.00,0.0640,0,0,0.5920,9.1060,5.1795,48,gen006_med0.00_win06_max0_min0_20250813_020206.json
20250813_020213,7,0.00,0.0520,0,0,0.6956,8.1840,5.6743,49,gen007_med0.00_win05_max0_min0_20250813_020213.json
20250813_020221,8,0.00,0.0580,0,0,0.7032,8.0040,5.8306,50,gen008_med0.00_win05_max0_min0_20250813_020221.json
20250813_020229,9,0.00,0.0660,0,0,0.6836,8.4460,5.7737,51,gen009_med0.00_win06_max0_min0_20250813_020229.json
20250813_020237,10,0.00,0.0520,0,0,0.6880,8.3720,5.7038,52,gen010_med0.00_win05_max0_min0_20250813_020237.json
20250813_020245,11,0.00,0.0720,0,0,0.6964,8.3520,5.9468,53,gen011_med0.00_win07_max0_min0_20250813_020245.json
20250813_020254,12,0.00,0.0540,0,0,0.6992,8.3500,5.7851,54,gen012_med0.00_win05_max0_min0_20250813_020254.json
20250813_020306,13,0.00,0.0560,0,0,0.6852,8.3080,5.4315,55,gen013_med0.00_win05_max0_min0_20250813_020306.json
20250813_020315,14,0.00,0.0720,0,0,0.7532,7.5940,6.0367,56,gen014_med0.00_win07_max0_min0_20250813_020315.json
20250813_020326,15,0.00,0.0600,0,0,0.7412,7.9480,6.2156,57,gen015_med0.00_win06_max0_min0_20250813_020326.json
20250813_020335,16,0.00,0.0580,0,0,0.7556,7.5220,6.0413,58,gen016_med0.00_win05_max0_min0_20250813_020335.json
20250813_020343,17,0.00,0.0540,0,0,0.6816,8.2780,5.6615,59,gen017_med0.00_win05_max0_min0_20250813_020343.json
20250813_020355,18,0.00,0.0660,0,0,0.7452,7.8520,6.2857,60,gen018_med0.00_win06_max0_min0_20250813_020355.json
20250813_020408,19,0.00,0.0600,0,0,0.7456,7.8500,6.0653,61,gen019_med0.00_win06_max0_min0_20250813_020408.json
20250813_020420,20,0.00,0.0740,0,0,0.7388,8.0160,6.1478,62,gen020_med0.00_win07_max0_min0_20250813_020420.json
20250813_020442,1,0.00,0.0580,0,0,0.6164,8.4860,5.0066,43,gen001_med0.00_win05_max0_min0_20250813_020442.json
20250813_020449,2,0.00,0.0640,0,0,0.6048,8.7340,4.9424,44,gen002_med0.00_win06_max0_min0_20250813_020449.json
20250813_020456,3,0.00,0.0580,0,0,0.6076,8.5960,4.8308,45,gen003_med0.00_win05_max0_min0_20250813_020456.json
20250813_020503,4,0.00,0.0560,0,0,0.6728,8.3400,5.3386,46,gen004_med0.00_win05_max0_min0_20250813_020503.json
20250813_020512,5,0.00,0.0560,0,0,0.6488,8.2400,5.2671,47,gen005_med0.00_win05_max0_min0_20250813_020512.json
20250813_020522,6,0.00,0.0600,0,0,0.7196,7.7360,5.7021,48,gen006_med0.00_win06_max0_min0_20250813_020522.json
20250813_020533,7,0.00,0.0540,0,0,0.6976,7.9140,5.7549,49,gen007_med0.00_win05_max0_min0_20250813_020533.json
20250813_020545,8,0.00,0.0560,0,0,0.7024,7.9100,5.7888,50,gen008_med0.00_win05_max0_min0_20250813_020545.json
20250813_020557,9,0.00,0.0720,0,0,0.6932,8.2400,5.5966,51,gen009_med0.00_win07_max0_min0_20250813_020557.json
20250813_020608,10,0.00,0.0560,0,0,0.6720,8.2120,5.4077,52,gen010_med0.00_win05_max0_min0_20250813_020608.json
20250813_020615,11,0.00,0.0580,0,0,0.6924,7.8840,5.5899,53,gen011_med0.00_win05_max0_min0_20250813_020615.json
20250813_020627,12,0.00,0.0560,0,0,0.6892,8.3120,5.5486,54,gen012_med0.00_win05_max0_min0_20250813_020627.json
20250813_020636,13,0.00,0.0580,0,0,0.6988,8.1240,5.8934,55,gen013_med0.00_win05_max0_min0_20250813_020636.json
20250813_020644,14,0.00,0.0540,0,0,0.7064,7.9440,5.6168,56,gen014_med0.00_win05_max0_min0_20250813_020644.json
20250813_020652,15,0.00,0.0580,0,0,0.7492,7.4700,5.8228,57,gen015_med0.00_win05_max0_min0_20250813_020652.json
20250813_020701,16,0.00,0.0580,0,0,0.7464,7.5380,5.9127,58,gen016_med0.00_win05_max0_min0_20250813_020701.json
20250813_021744,1,0.00,0.0620,0,0,0.5668,9.0180,4.6607,43,gen001_med0.00_win06_max0_min0_20250813_021744.json
20250813_021751,2,0.00,0.0580,0,0,0.6420,8.1080,4.8299,44,gen002_med0.00_win05_max0_min0_20250813_021751.json
20250813_021758,3,0.00,0.0520,0,0,0.6376,8.3940,4.9512,45,gen003_med0.00_win05_max0_min0_20250813_021758.json
20250813_021805,4,0.00,0.0640,0,0,0.6220,8.7860,5.2995,46,gen004_med0.00_win06_max0_min0_20250813_021805.json
20250813_021813,5,0.00,0.0600,0,0,0.6828,8.4260,5.5311,47,gen005_med0.00_win06_max0_min0_20250813_021813.json
20250813_021820,6,0.00,0.0640,0,0,0.7500,7.6880,6.2590,48,gen006_med0.00_win06_max0_min0_20250813_021820.json
20250813_021828,7,0.00,0.0640,0,0,0.6880,8.3620,5.4910,49,gen007_med0.00_win06_max0_min0_20250813_021828.json
